ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Time Signature,Popularity

[pop]
7EOYLyD4pP4YJVgoVeKUQ1, 0.707, 0.924, 7, -2.842, 1, 0.031, 0.00703, 0.204, 0.919, 127.937, 206413, 4, 41
6vECYJHxYmm3Ydt3fF01pE, 0.887, 0.584, 11, -8.798, 1, 0.0381, 0.000314, 0.101, 0.677, 114.016, 313684, 4, 73
1ZY1PqizIl78geGM4xWlEA, 0.8, 0.535, 7, -6.684, 1, 0.135, 9.48e-06, 0.213, 0.451, 92.027, 209680, 4, 72
2bJvI42r8EF3wxjOuDav4r, 0.72, 0.802, 1, -5.797, 1, 0.0582, 0, 0.694, 0.723, 124.043, 229360, 4, 78
7ATATJztoWLcqDAcVVof0C, 0.635, 0.902, 0, -3.559, 1, 0.109, 0, 0.125, 0.286, 102.063, 217822, 4, 58
3rq5w4bQGigXOfdN30ATJt, 0.55, 0.537, 5, -7.588, 1, 0.0325, 0.00025, 0.202, 0.432, 85.014, 272394, 4, 63
6SwRhMLwNqEi6alNPVG00n, 0.658, 0.535, 9, -8.983, 0, 0.0573, 0, 0.2, 0.419, 110.684, 227360, 4, 76
2Za1AlJNvksouPPWbXpR2X, 0.712, 0.51, 8, -8.162, 1, 0.0633, 2.46e-05, 0.112, 0.268, 122.964, 240507, 4, 76
4tERsdVCLtLtrGdFBf9DGC, 0.715, 0.742, 0, -4.331, 1, 0.0347, 2.47e-05, 0.364, 0.322, 106.971, 230880, 4, 73
4r6eNCsrZnQWJzzvFh4nlg, 0.638, 0.832, 8, -5.039, 1, 0.049, 0, 0.113, 0.648, 124.071, 227893, 4, 62
000xQL6tZNLJzIrtIgxqSl, 0.748, 0.627, 7, -6.029, 1, 0.0644, 0, 0.0852, 0.524, 120.963, 188491, 4, 70
6fwdbPMwP1zVStm8FybmkO, 0.835, 0.413, 1, -9.81, 1, 0.396, 0.00133, 0.101, 0.111, 149.004, 258880, 4, 77
6mDoM5FGbr1Or5nY9pTnLy, 0.635, 0.496, 0, -7.301, 1, 0.0936, 0, 0.121, 0.373, 121.696, 235082, 4, 62
2BqQQXuBOuhaWeUP7okEx0, 0.775, 0.417, 7, -8.895, 0, 0.0974, 0, 0.125, 0.608, 109.956, 211573, 4, 67
4ZJPwET9Jrgpkqi4Vo3Yg8, 0.656, 0.615, 5, -6.252, 1, 0.0539, 0, 0.234, 0.366, 139.91, 197253, 4, 71
6ZeQp2XTOiPCePWRfCHSo5, 0.422, 0.321, 5, -8.952, 1, 0.0294, 2.33e-06, 0.429, 0.28, 78.533, 196347, 4, 59
2RttW7RAu5nOAfq6YFvApB, 0.522, 0.385, 0, -7.355, 1, 0.0288, 0, 0.135, 0.236, 89.792, 207520, 4, 87
3QWjljChcOMkRDYSzF33Qr, 0.87, 0.502, 5, -7.497, 0, 0.0549, 0.00356, 0.0916, 0.673, 82.53, 160597, 4, 63
1JCCdiru7fhstOIF4N7WJC, 0.572, 0.499, 2, -5.237, 1, 0.0311, 0, 0.213, 0.108, 101.593, 237248, 4, 69
3oIhthYPSKwAwJLA8JClkV, 0.663, 0.789, 6, -5.167, 0, 0.102, 1.06e-06, 0.0828, 0.449, 94.985, 210680, 4, 66
2qT1uLXPVPzGgFOx4jtEuo, 0.699, 0.713, 9, -5.507, 0, 0.0594, 3.11e-06, 0.294, 0.354, 121.993, 205920, 4, 90
5rgy6ghBq1eRApCkeUdJXf, 0.378, 0.638, 10, -5.576, 1, 0.075, 7.66e-05, 0.0849, 0.735, 184.086, 250627, 4, 74
